Startdatum,Starttid,Slutdatum,Sluttid,Aktivitet,Grupp,Tillfälleskod/kurskod,Lokal,Info,Personal,Program/klass 
2018-10-29,10:00,2018-10-29,12:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-29,12:00,2018-10-29,13:00,Information,,"DD1390, DD1391",D1,,Viggo Kann,CDATE2
2018-10-29,15:00,2018-10-29,17:00,Föreläsning,,IS1500,F2,,David Broman,"CDATE2, CLGYM2-TIKT"
2018-10-30,08:00,2018-10-30,10:00,Övning,"IS1500 grupp A, IS1500 grupp B",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-30,10:00,2018-10-30,12:00,Föreläsning,DD1351 Helklass,DD1351,E1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-10-30,13:00,2018-10-30,15:00,Föreläsning,DD1368 Helklass,DD1368,M1,,Dena Hussain,CDATE2
2018-10-30,15:00,2018-10-30,17:00,Övning,"IS1500 grupp C, IS1500 grupp D",IS1500,"V32, V34",,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-31,10:00,2018-10-31,12:00,Övning,DD1368 Helklass,DD1368,"V21, V23",,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-10-31,12:00,2018-10-31,13:00,Övning,,IS1500,U21,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-10-31,13:00,2018-10-31,15:00,Övning,DD1368 Helklass,DD1368,"E33, E34",,Dena Hussain,CDATE2
2018-11-01,08:00,2018-11-01,10:00,Föreläsning,DD1351 Helklass,DD1351,Q1,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-11-01,13:00,2018-11-01,15:00,Övning,DD1351 Helklass,DD1351,"L51, L52, Q33, Q36",,"Alf Thomas Sjöland, Johan Karlander","CDATE2, CINTE2, CINTE3"
2018-11-01,15:00,2018-11-01,17:00,Föreläsning,,ME1010,F2,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-02,08:00,2018-11-02,12:00,Laboration,DD1368 Helklass,DD1368,"4V2Röd (Röd), 4V4Gul (Gul), 4V5Grö (Grön), 5V2Kar (Karmosin)",,,CDATE2
2018-11-02,13:00,2018-11-02,17:00,Laboration,DD1368 Helklass,DD1368,"4V2Röd (Röd), 5V1Grå (Grå), 5V2Kar (Karmosin), 5V4Mag (Magenta)",,,"CDATE2, CLGYM3-TIKT"
2018-11-03,00:00,2018-11-04,00:00,Alla helgons dag,,,,,,
2018-11-05,08:00,2018-11-05,10:00,Föreläsning,DD1351 Helklass,DD1351,F2,,Johan Karlander,"CDATE2, CINTE2, CINTE3"
2018-11-05,13:00,2018-11-05,15:00,Föreläsning,DD1368 Helklass,DD1368,Q1,,Dena Hussain,CDATE2
2018-11-05,15:00,2018-11-05,19:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-06,08:00,2018-11-06,12:00,Laboration,,IS1500,4V4Gul (Gul),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-06,08:00,2018-11-06,12:00,Övning,DD1368 Helklass,DD1368,"D32, D33, D34, D35",,Dena Hussain,"CDATE2, CLGYM3-TIKT"
2018-11-06,12:00,2018-11-06,14:00,KTH-Global,,,,,,
2018-11-06,14:00,2018-11-06,18:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-06,14:00,2018-11-06,18:00,Övning,DD1368 Helklass,DD1368,"Q11, Q13, Q22, Q24",,Dena Hussain,CDATE2
2018-11-07,08:00,2018-11-07,10:00,Kontrollskrivning,DD1351 Helklass,DD1351,"Q31, Q33, Q34, Q36, V01, V11, V22, V32",,,"CDATE2, CINTE2, CINTE3"
2018-11-07,12:00,2018-11-07,14:00,KTH-Global,,,,,,
2018-11-07,14:00,2018-11-07,15:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-07,15:00,2018-11-07,16:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-07,16:00,2018-11-07,17:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-07,17:00,2018-11-07,18:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
2018-11-08,08:00,2018-11-08,12:00,Laboration,DD1368 Helklass,DD1368,"4V3Ora (Orange), 5O1Spe (Spelhallen), 5V2Kar (Karmosin)",,,"CDATE2, CLGYM3-TIKT"
2018-11-08,08:00,2018-11-08,12:00,Laboration,,IS1500,4V2Röd (Röd),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-08,12:00,2018-11-08,13:00,Övning,,IS1500,U21,,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-08,12:00,2018-11-08,14:00,KTH-Global,,,,,,
2018-11-08,16:00,2018-11-08,20:00,Laboration,,IS1500,5O1Spe (Spelhallen),,"David Broman, Fredrik Lundevall, Gunnar Johansson","CDATE2, CLGYM2-TIKT"
2018-11-09,08:00,2018-11-09,12:00,Laboration,DD1368 Helklass,DD1368,"4V3Ora (Orange), 5O1Spe (Spelhallen), 5V2Kar (Karmosin)",,,CDATE2
2018-11-09,10:00,2018-11-09,11:00,Övning,,ME1010,,,"Gisela Bäcklander, Maria Lindhagen",CDATE2
